Item Code,Item,Crop Peoples et al.
780,"Jute, raw or retted",
778,"Kapok fibre, raw",
310,Kapok fruit,
311,Kapokseed in shell,
263,Karite nuts (sheanuts),
782,"Kenaf, and other textile bast fibres, raw or retted",
592,Kiwi fruit,
224,Kola nuts,
407,Leeks and other alliaceous vegetables,
497,Lemons and limes,
201,"Lentils, dry",Other
372,Lettuce and chicory,
333,Linseed,
461,Locust beans (carobs),
210,Lupins,Lupin
56,Maize (corn),
571,"Mangoes, guavas and mangosteens",
1242,Margarine and shortening,
671,Maté leaves,
1108,"Meat of asses, fresh or chilled",
947,"Meat of buffalo, fresh or chilled",
1127,"Meat of camels, fresh or chilled",
867,"Meat of cattle with the bone, fresh or chilled",
1058,"Meat of chickens, fresh or chilled",
1069,"Meat of ducks, fresh or chilled",
1073,"Meat of geese, fresh or chilled",
1017,"Meat of goat, fresh or chilled",
1111,"Meat of mules, fresh or chilled",
1158,"Meat of other domestic camelids, fresh or chilled",
1151,"Meat of other domestic rodents, fresh or chilled",
1035,"Meat of pig with the bone, fresh or chilled",
1089,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",
1141,"Meat of rabbits and hares, fresh or chilled",
977,"Meat of sheep, fresh or chilled",
1080,"Meat of turkeys, fresh or chilled",
1808,"Meat, Poultry",
1765,"Meat, Total",
299,Melonseed,
1780,"Milk, Total",
79,Millet,
103,Mixed grain,
165,Molasses,
1110,Mules and hinnies,
449,Mushrooms and truffles,
292,Mustard seed,
1182,Natural honey,
836,Natural rubber in primary forms,
702,"Nutmeg, mace, cardamoms, raw",
75,Oats,
334,Oil of linseed,
60,Oil of maize,
258,Oil of palm kernel,
290,Oil of sesame seed,
254,Oil palm fruit,
1841,"Oilcrops, Cake Equivalent",
1732,"Oilcrops, Oil Equivalent",
430,Okra,
261,Olive oil,
260,Olives,
403,"Onions and shallots, dry (excluding dehydrated)",
402,"Onions and shallots, green",
490,Oranges,
414,"Other beans, green",
558,Other berries and fruits of the genus vaccinium n.e.c.,
1083,Other birds,
1157,Other camelids,
512,"Other citrus fruit, n.e.c.",
