Item Group Code,Item Group,Item Code,Item,HS Code,HS07 Code,HS12 Code,CPC Code
1714,Crops Primary,234,Nuts nes,,"080260, 080290","080261, 080262, 080290",1379.9
1714,Crops Primary,75,Oats,,100400,"100410, 100490",117
1714,Crops Primary,254,Oil palm fruit,,120799,120710,1491.01
1714,Crops Primary,339,Oilseeds nes,,120799,120799,1449.9
1714,Crops Primary,430,Okra,,70990,70999,1239.01
1714,Crops Primary,260,Olives,,70990,70992,1450
1714,Crops Primary,403,"Onions, dry",,70310,70310,1253.02
1714,Crops Primary,402,"Onions, shallots, green",,70310,70310,1253.01
1714,Crops Primary,490,Oranges,,80510,80510,1323
1714,Crops Primary,600,Papayas,,80720,80720,1317
1714,Crops Primary,534,Peaches and nectarines,,80930,80930,1345
1714,Crops Primary,521,Pears,,80820,80830,1342.01
1714,Crops Primary,187,"Peas, dry",,71310,71310,1705
1714,Crops Primary,417,"Peas, green",,70810,70810,1242
1714,Crops Primary,687,Pepper (piper spp.),,"090411, 090412","090411, 090412",1651
1714,Crops Primary,748,Peppermint,,121190,121190,1930.01
1714,Crops Primary,587,Persimmons,,81090,81070,1359.01
1714,Crops Primary,197,Pigeon peas,,71390,71360,1707
1714,Crops Primary,574,Pineapples,,80430,80430,1318
1714,Crops Primary,223,Pistachios,,80250,"080251, 080252",1375
1714,Crops Primary,489,Plantains and others,,80300,80310,1313
1714,Crops Primary,536,Plums and sloes,,80940,80940,1346
1714,Crops Primary,296,Poppy seed,,120791,120791,1448
1714,Crops Primary,116,Potatoes,,"070110, 070190","070110, 070190",1510
1714,Crops Primary,211,Pulses nes,,71390,71390,1709.9
1714,Crops Primary,394,"Pumpkins, squash and gourds",,70990,70993,1235
1714,Crops Primary,754,"Pyrethrum, dried",,121190,121190,1930.02
1714,Crops Primary,523,Quinces,,80820,80840,1342.02
1714,Crops Primary,92,Quinoa,,100890,100850,1194
1714,Crops Primary,788,Ramie,,530500,530500,1929.04
1714,Crops Primary,270,Rapeseed,,"120510, 120590","120510, 120590",1443
1714,Crops Primary,547,Raspberries,,81020,81020,1353.01
1714,Crops Primary,27,"Rice, paddy",,100610,100610,113
1714,Crops Primary,149,Roots and tubers nes,,71490,71490,1599.1
1714,Crops Primary,836,"Rubber, natural",,400110,400110,1950.01
1714,Crops Primary,71,Rye,,100200,"100210, 100290",116
1714,Crops Primary,280,Safflower seed,,120799,120760,1446
1714,Crops Primary,328,Seed cotton,,520100,520100,1921.01
1714,Crops Primary,289,Sesame seed,,120740,120740,1444
1714,Crops Primary,789,Sisal,,530500,530500,1929.05
1714,Crops Primary,83,Sorghum,,100700,"100710, 100790",114
1714,Crops Primary,236,Soybeans,,120100,"120110, 120190",141
1714,Crops Primary,723,Spices nes,,"091020, 091030, 091091, 091099","091020, 091030, 091091, 091099",1699
1714,Crops Primary,373,Spinach,,70970,70970,1215
1714,Crops Primary,544,Strawberries,,81010,81010,1354
1714,Crops Primary,423,String beans,,70820,70820,1241.01
1714,Crops Primary,157,Sugar beet,,121291,121291,1801
1714,Crops Primary,156,Sugar cane,,121299,121293,1802
1714,Crops Primary,161,Sugar crops nes,,121299,121299,1809
1714,Crops Primary,267,Sunflower seed,,120600,120600,1445
1714,Crops Primary,122,Sweet potatoes,,71420,71420,1530
1714,Crops Primary,305,Tallowtree seed,,120799,120799,1499.04
1714,Crops Primary,495,"Tangerines, mandarins, clementines, satsumas",,80520,80520,1324
1714,Crops Primary,136,Taro (cocoyam),,71490,71440,1550
